count,mean,std,min,25%,50%,75%,max
39906.0,201591925312494.8,438586352024937.0,49918491.0,8054602946.0,8398845039604.0,124973975368812.0,1993280326788724.0
39906.0,0.5103428055931438,0.28696253774386576,0.0,0.27,0.5,0.76,1.0
39906.0,132.3052423194507,94.20735005823342,0.0,55.0,115.0,194.0,472.0
39906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39906.0,2024.777802836666,0.4291349627524908,2024.0,2025.0,2025.0,2025.0,2026.0
39906.0,6.492983511251441,3.411231459788438,1.0,4.0,6.0,9.0,12.0
39906.0,15.52310429509347,8.889982026107043,1.0,8.0,15.0,23.0,31.0
39906.0,0.9990978800180425,0.03002213762862739,0.0,1.0,1.0,1.0,1.0
39906.0,189.2951929534406,96.52731327403076,2.35,111.755,187.69,261.115,656.13
39906.0,475071.9579010675,43437.370979909014,400042.0,437818.0,474954.0,512904.0,549990.0
39906.0,5040.282964967674,2887.720812372317,0.0,2551.0,5038.0,7573.0,9999.0
39906.0,0.01097579311381747,0.1041901967967067,0.0,0.0,0.0,0.0,1.0
